Student_ID,Attendance,Quiz_Score,Assignment_Score,Understanding_Level
S1723,74.83,70.41,96.92,Good
S1724,77.21,56.87,52.03,Average
S1725,97.82,81.51,50.75,Good
S1726,94.34,93.69,71.25,Excellent
S1727,58.47,53.75,79.53,Average
S1728,73.66,77.9,63.9,Good
S1729,98.56,55.75,62.97,Good
S1730,68.62,51.35,83.92,Average
S1731,68.58,83.98,80.09,Good
S1732,59.75,84.09,58.36,Average
S1733,55.72,80.03,94.23,Good
S1734,87.02,92.96,84.0,Excellent
S1735,88.5,54.04,68.13,Good
S1736,98.45,55.26,84.18,Good
S1737,88.67,93.23,55.63,Good
S1738,62.17,75.16,73.41,Average
S1739,52.01,63.65,58.45,Poor
S1740,99.27,86.91,52.07,Good
S1741,67.02,94.72,66.92,Good
S1742,65.6,84.48,57.54,Average
S1743,95.3,89.6,81.68,Excellent
S1744,79.25,64.12,83.7,Good
S1745,60.74,64.44,57.43,Average
S1746,94.45,93.21,51.23,Good
S1747,99.67,80.74,89.64,Excellent
S1748,54.33,61.71,50.1,Poor
S1749,93.11,76.21,67.2,Good
S1750,69.53,84.29,74.73,Good
S1751,76.2,60.93,90.93,Good
S1752,95.74,82.75,91.93,Excellent
S1753,98.67,52.11,86.25,Good
S1754,63.11,65.18,62.36,Average
S1755,60.64,83.7,86.01,Good
S1756,54.03,57.47,62.33,Poor
S1757,78.09,61.11,60.73,Average
S1758,50.68,93.95,77.36,Good
S1759,70.59,83.72,83.94,Good
S1760,53.67,74.95,52.65,Poor
S1761,70.26,60.54,53.0,Average
S1762,52.0,67.07,89.21,Average
S1763,91.76,78.72,92.97,Excellent
S1764,60.49,57.77,80.22,Average
S1765,66.42,74.09,71.44,Good
S1766,93.5,70.45,92.27,Excellent
S1767,87.31,73.83,86.44,Good
S1768,60.95,55.28,78.98,Average
S1769,53.59,55.32,65.99,Poor
S1770,85.78,98.21,59.9,Good
S1771,69.54,98.97,70.93,Good
S1772,88.3,71.31,64.34,Good
S1773,72.26,89.45,66.96,Good
S1774,67.3,82.79,75.78,Good
S1775,72.56,55.85,58.45,Average
S1776,87.43,64.83,90.31,Good
S1777,95.11,65.68,57.28,Good
S1778,52.49,79.79,74.05,Average
S1779,76.21,79.0,87.3,Good
S1780,51.64,96.18,74.25,Good
S1781,73.42,89.5,68.05,Good
S1782,94.26,92.84,73.74,Excellent
S1783,68.08,94.56,92.43,Good
S1784,96.62,90.06,99.52,Excellent
S1785,81.53,66.64,81.56,Good
S1786,96.71,60.75,89.67,Good
S1787,87.86,78.59,50.72,Good
S1788,55.17,84.48,94.02,Good
S1789,61.56,69.33,97.7,Good
S1790,69.71,92.42,78.76,Good
S1791,58.51,98.03,87.69,Good
S1792,74.75,78.47,75.64,Good
S1793,73.57,72.83,64.31,Good
S1794,97.81,92.14,92.61,Excellent
S1795,71.69,51.21,79.84,Average
S1796,89.28,56.45,78.97,Good
S1797,97.1,92.28,82.96,Excellent
S1798,93.85,86.6,92.8,Excellent
S1799,60.43,70.81,86.6,Good
S1800,74.8,94.44,60.56,Good
S1801,67.39,67.57,73.34,Average
S1802,69.99,81.69,99.01,Good
S1803,68.04,81.72,77.73,Good
S1804,91.32,59.22,96.91,Good
S1805,72.61,64.24,90.67,Good
S1806,76.18,95.8,83.3,Good
S1807,99.12,59.17,67.47,Good
S1808,53.0,58.68,65.22,Poor
S1809,74.4,73.98,82.17,Good
S1810,88.7,54.61,71.63,Good
S1811,57.56,94.73,89.94,Good
S1812,80.58,55.01,88.02,Good
S1813,61.97,80.83,65.61,Average
S1814,93.37,66.99,85.14,Good
S1815,66.35,90.21,74.73,Good
S1816,66.45,79.49,66.16,Good
S1817,79.91,69.42,70.65,Good
S1818,59.18,99.19,94.77,Good
S1819,64.24,53.31,67.98,Average
S1820,70.83,78.89,64.37,Good
S1821,67.68,99.48,67.59,Good
S1822,76.24,84.55,60.73,Good
S1823,79.98,86.99,77.23,Good
S1824,78.33,51.6,57.37,Average
S1825,82.71,51.07,90.87,Good
S1826,65.39,51.81,61.28,Average
S1827,56.32,99.59,79.9,Good
S1828,88.04,98.98,56.25,Good
S1829,92.54,66.73,98.92,Excellent
S1830,62.85,64.55,72.73,Average
S1831,70.35,57.3,91.11,Good
S1832,74.93,66.46,88.43,Good
S1833,76.67,68.51,85.68,Good
S1834,82.97,87.41,91.37,Excellent
S1835,52.08,93.31,55.02,Average
S1836,86.07,87.34,83.92,Excellent
S1837,53.1,82.32,63.29,Average
S1838,73.41,88.3,89.29,Good
S1839,91.38,86.92,97.84,Excellent
S1840,72.56,73.79,95.07,Good
S1841,57.45,66.79,55.75,Poor
S1842,99.25,64.14,68.48,Good
S1843,94.46,83.97,68.22,Good
S1844,88.57,97.97,56.11,Good
S1845,70.58,79.05,54.91,Average
S1846,59.19,95.63,69.24,Good
S1847,97.07,50.71,99.6,Good
S1848,76.62,89.72,78.45,Good
S1849,92.62,92.68,81.09,Excellent
S1850,67.1,81.55,73.55,Good
S1851,66.76,96.7,83.12,Good
S1852,99.28,79.5,97.83,Excellent
S1853,76.09,62.03,79.43,Good
S1854,57.03,60.79,53.25,Poor
S1855,60.98,77.79,74.64,Good
S1856,74.1,95.32,99.64,Excellent
S1857,52.12,53.62,69.37,Poor
S1858,73.13,80.22,79.69,Good
S1859,70.95,88.49,55.33,Good
S1860,88.97,55.77,57.06,Average
S1861,67.75,55.84,93.73,Good
S1862,99.13,68.31,65.02,Good
S1863,59.04,63.69,65.27,Average
S1864,79.55,59.92,69.36,Good
S1865,54.48,59.93,98.32,Average
S1866,86.69,56.53,54.22,Average
S1867,99.74,80.54,90.94,Excellent
S1868,90.96,84.41,67.08,Good
S1869,77.79,85.15,92.47,Good
S1870,74.24,76.62,99.59,Good
S1871,91.75,97.65,67.43,Excellent
S1872,96.8,94.03,56.47,Good
S1873,99.46,97.88,57.22,Excellent
S1874,69.83,69.44,87.94,Good
S1875,99.55,93.89,57.25,Excellent
S1876,57.8,88.14,63.02,Average
S1877,62.68,67.0,60.22,Average
S1878,54.45,55.33,67.78,Poor
S1879,63.59,84.13,53.72,Average
S1880,88.4,56.82,92.84,Good
S1881,92.65,64.69,93.01,Good
S1882,88.94,75.02,70.65,Good
S1883,81.55,83.99,80.6,Good
S1884,75.7,96.31,82.1,Good
S1885,85.44,79.66,87.46,Good
S1886,69.54,83.57,76.03,Good
S1887,92.07,65.5,75.52,Good
S1888,83.86,84.36,81.57,Good
S1889,84.89,71.89,85.15,Good
S1890,76.8,92.85,67.33,Good
S1891,94.26,69.62,66.52,Good
S1892,62.6,73.41,63.49,Average
S1893,69.06,71.63,77.44,Good
S1894,88.88,90.56,68.01,Good
S1895,74.64,97.68,77.02,Good
S1896,94.46,66.36,70.3,Good
S1897,67.32,73.75,91.84,Good
S1898,68.47,85.3,53.66,Average
S1899,94.44,94.77,78.61,Excellent
S1900,73.22,74.69,78.78,Good
S1901,75.81,55.44,69.19,Average
S1902,66.64,68.43,71.05,Average
S1903,63.83,77.52,90.01,Good
S1904,82.8,70.88,64.03,Good
S1905,55.99,59.33,93.57,Average
S1906,93.96,51.85,94.82,Good
S1907,88.96,84.37,82.53,Excellent
S1908,59.54,99.64,88.64,Good
S1909,84.7,95.96,80.65,Excellent
S1910,80.13,84.16,76.26,Good
S1911,59.23,92.08,98.33,Good
S1912,63.66,62.79,64.13,Average
S1913,70.45,81.12,57.71,Average
S1914,84.96,53.03,64.37,Average
S1915,81.94,85.36,80.73,Good
S1916,76.61,98.49,59.26,Good
S1917,88.42,93.04,95.44,Excellent
S1918,87.9,76.72,70.55,Good
S1919,80.89,89.44,92.5,Excellent
S1920,89.35,97.19,62.46,Good
S1921,66.71,60.8,65.66,Average
S1922,94.06,89.66,52.96,Good
S1923,80.75,63.49,62.89,Good
S1924,91.12,93.85,74.52,Excellent
S1925,77.31,54.92,97.31,Good
S1926,60.92,58.91,69.45,Average
S1927,77.12,86.03,81.99,Good
S1928,68.56,58.74,71.39,Average
S1929,84.87,57.9,52.34,Average
S1930,73.79,77.77,75.18,Good
S1931,91.81,91.75,53.3,Good
S1932,83.9,63.42,94.18,Good
S1933,84.23,92.06,87.65,Excellent
S1934,60.86,90.4,68.93,Good
S1935,99.21,78.96,82.01,Excellent
S1936,92.08,82.33,55.6,Good
S1937,89.45,52.02,85.13,Good
S1938,66.51,68.36,91.14,Good
S1939,76.78,63.17,91.09,Good
S1940,56.86,57.5,64.21,Poor
S1941,76.92,69.48,63.19,Good
S1942,57.29,67.75,76.07,Average
S1943,77.65,86.44,98.39,Excellent
S1944,82.44,79.9,96.03,Excellent
S1945,69.51,95.66,67.98,Good
S1946,74.93,57.27,88.99,Good
S1947,93.78,52.99,96.07,Good
S1948,55.43,76.73,63.05,Average
S1949,89.59,50.05,91.51,Good
S1950,58.54,89.39,63.39,Average
S1951,51.84,75.3,67.16,Average
S1952,59.28,74.4,59.94,Average
S1953,88.25,68.12,75.35,Good
S1954,70.26,68.75,92.17,Good
S1955,93.63,71.56,76.4,Good
S1956,76.24,50.8,56.17,Average
S1957,51.11,54.18,62.59,Poor
S1958,85.84,75.25,78.14,Good
S1959,55.51,57.51,79.16,Average
S1960,89.47,88.94,78.85,Excellent
S1961,58.41,63.72,53.85,Poor
S1962,67.27,54.89,87.68,Average
S1963,88.06,61.76,95.47,Good
S1964,97.71,67.85,75.53,Good
S1965,68.57,51.77,85.94,Average
S1966,91.47,57.08,95.7,Good
S1967,59.54,66.19,82.13,Average
S1968,90.36,65.52,83.72,Good
S1969,82.87,90.02,86.07,Excellent
S1970,59.64,92.16,63.03,Good
S1971,65.13,59.67,79.13,Average
S1972,56.59,56.2,92.11,Average
S1973,69.15,81.71,64.81,Good
S1974,60.18,90.23,94.86,Good
S1975,82.2,98.19,81.02,Excellent
S1976,99.73,50.34,71.16,Good
S1977,50.6,70.68,81.16,Average
S1978,77.05,86.7,70.09,Good
S1979,78.68,91.43,91.9,Excellent
S1980,95.71,53.11,74.12,Good
S1981,75.3,84.03,95.06,Good
S1982,77.19,64.45,75.49,Good
S1983,73.58,53.73,83.02,Good
S1984,63.45,74.46,99.89,Good
S1985,52.8,57.91,57.35,Poor
S1986,70.43,86.85,86.84,Good
S1987,52.63,87.06,56.94,Average
S1988,77.52,92.1,91.94,Excellent
S1989,65.36,68.88,79.82,Good
S1990,76.68,50.67,96.91,Good
S1991,56.71,62.99,93.3,Average
S1992,96.63,73.39,53.74,Good
S1993,94.73,84.7,56.87,Good
S1994,59.5,69.1,80.06,Average
S1995,67.17,76.8,75.92,Good
S1996,80.67,76.21,58.43,Good
S1997,54.78,58.25,56.47,Poor
S1998,67.73,81.15,78.2,Good
S1999,62.56,71.96,52.45,Average
S2000,95.78,90.4,93.69,Excellent
S2001,92.63,84.53,90.35,Excellent
S2002,78.99,55.57,89.27,Good
S2003,76.02,74.44,50.8,Average
S2004,96.54,85.12,52.38,Good
S2005,96.62,54.35,77.49,Good
S2006,98.47,89.62,99.72,Excellent
S2007,56.27,61.1,67.12,Average
S2008,58.03,75.15,67.22,Average
S2009,83.84,97.03,56.71,Good
S2010,77.07,78.57,83.72,Good
S2011,50.92,71.2,82.33,Average
S2012,53.1,50.34,55.07,Poor
S2013,94.4,56.67,73.37,Good
S2014,93.44,78.93,83.35,Excellent
S2015,67.86,74.69,74.68,Good
S2016,94.55,68.19,83.72,Good
S2017,79.68,96.16,90.81,Excellent
S2018,90.3,66.62,84.29,Good
S2019,71.37,76.86,80.81,Good
S2020,55.67,78.44,92.68,Good
S2021,71.69,76.37,95.03,Good
S2022,72.86,73.88,69.44,Good
S2023,77.55,66.85,58.66,Average
S2024,55.28,95.44,90.89,Good
S2025,99.57,72.54,60.69,Good
S2026,62.21,76.42,96.45,Good
S2027,59.93,82.82,51.14,Average
S2028,76.34,53.38,96.06,Good
S2029,76.86,89.06,79.46,Good
S2030,71.99,75.63,88.74,Good
S2031,88.59,82.86,69.92,Good
S2032,75.83,88.6,99.59,Excellent
S2033,80.48,93.7,61.38,Good
S2034,86.19,69.61,63.22,Good
S2035,51.25,90.57,52.57,Average
S2036,78.53,62.94,97.02,Good
S2037,94.21,83.02,72.8,Good
S2038,50.87,55.14,83.74,Average
S2039,70.26,51.0,84.37,Average
S2040,96.31,54.79,93.73,Good
S2041,67.66,65.97,83.25,Good
S2042,72.94,51.55,78.1,Average
S2043,99.08,81.52,85.52,Excellent
S2044,59.97,65.83,87.55,Good
S2045,53.26,86.82,59.3,Average
S2046,92.97,52.3,55.48,Average
S2047,93.42,60.84,53.74,Good
S2048,73.6,70.4,68.7,Good
S2049,75.71,69.13,74.9,Good
S2050,91.79,56.55,80.78,Good
S2051,86.93,99.71,97.9,Excellent
S2052,63.26,64.22,66.54,Average
S2053,50.84,86.05,88.04,Good
S2054,73.99,61.0,76.57,Good
S2055,92.95,93.89,61.0,Good
S2056,94.79,69.39,80.77,Good
S2057,97.81,95.05,98.36,Excellent
S2058,93.98,67.09,56.22,Good
S2059,79.0,50.43,75.36,Average
S2060,72.23,75.85,52.58,Average
S2061,88.74,76.24,66.06,Good
S2062,86.99,55.99,81.03,Good
S2063,76.91,61.75,92.05,Good
S2064,54.37,89.17,86.52,Good
S2065,96.3,51.84,73.14,Good
S2066,72.78,74.48,95.46,Good
S2067,68.17,76.52,65.14,Average
S2068,81.48,84.44,87.7,Good
S2069,83.69,51.87,73.7,Good
S2070,60.53,79.28,94.93,Good
S2071,91.85,50.15,89.87,Good
S2072,64.5,63.26,95.07,Good
S2073,59.33,74.98,60.71,Average
S2074,70.32,95.56,83.41,Good
S2075,86.53,56.33,86.92,Good
S2076,98.27,58.46,87.12,Good
S2077,90.46,83.46,75.2,Good
S2078,97.02,68.74,50.56,Good
S2079,57.03,81.17,63.07,Average
S2080,53.56,99.87,66.17,Good
S2081,77.89,99.34,92.6,Excellent
S2082,64.51,67.69,92.04,Good
S2083,91.4,75.2,55.23,Good
S2084,83.6,95.23,97.49,Excellent
S2085,98.54,54.61,59.12,Good
S2086,62.74,72.62,70.72,Average
S2087,74.29,68.88,60.76,Average
S2088,75.06,64.74,93.02,Good
S2089,61.96,99.71,87.47,Good
S2090,79.5,86.68,67.68,Good
S2091,72.16,69.44,84.09,Good
S2092,72.34,91.45,59.22,Good
S2093,68.14,74.48,69.11,Good
S2094,50.85,93.64,68.86,Average
S2095,76.1,63.32,61.9,Average
S2096,66.76,61.18,93.82,Good
S2097,50.07,62.36,83.94,Average
S2098,65.4,76.92,64.0,Average
S2099,63.93,64.57,62.11,Average
S2100,69.67,57.36,50.9,Average
S2101,56.59,99.73,67.33,Good
S2102,75.38,95.02,76.34,Good
S2103,84.62,81.75,63.89,Good
S2104,81.51,94.58,85.02,Excellent
S2105,90.19,96.77,70.59,Excellent
S2106,72.6,83.81,65.82,Good
S2107,75.95,75.93,96.95,Good
S2108,90.52,94.1,63.14,Good
S2109,71.39,78.39,69.91,Good
S2110,85.08,56.34,69.11,Good
S2111,71.73,68.34,62.06,Average
S2112,70.89,72.3,60.87,Average
S2113,88.01,96.77,65.12,Good
S2114,58.74,82.96,93.21,Good
S2115,66.93,93.76,88.35,Good
S2116,61.21,87.88,84.05,Good
S2117,67.96,65.49,72.86,Average
S2118,61.52,85.94,75.39,Good
S2119,78.97,59.76,63.36,Average
S2120,89.91,70.41,53.72,Good
S2121,89.33,90.3,66.55,Good
S2122,68.23,80.6,74.78,Good
S2123,99.44,91.27,52.87,Good
S2124,79.69,62.74,54.41,Average
S2125,69.97,87.49,63.15,Good
S2126,91.78,60.12,68.35,Good
S2127,86.49,77.27,69.67,Good
S2128,87.46,71.68,55.89,Good
S2129,59.81,77.82,61.29,Average
S2130,73.42,56.78,63.08,Average
S2131,93.09,68.06,53.38,Good
S2132,75.2,83.35,66.3,Good
S2133,84.17,77.93,53.61,Good
S2134,79.4,77.45,85.17,Good
S2135,92.12,75.54,69.3,Good
S2136,64.23,97.19,66.34,Good
S2137,78.77,96.73,56.33,Good
S2138,56.16,68.01,61.33,Average
S2139,84.51,67.59,61.64,Good
S2140,86.6,77.74,99.26,Excellent
S2141,52.14,54.78,91.77,Average
S2142,83.79,65.15,50.76,Average
S2143,70.73,61.54,80.84,Good
S2144,56.2,61.17,62.8,Poor
S2145,71.0,81.93,55.22,Average
S2146,59.71,69.22,85.28,Good
S2147,70.78,58.56,56.58,Average
S2148,69.22,94.38,72.19,Good
S2149,86.92,93.71,81.61,Excellent
S2150,88.71,93.12,77.72,Excellent
S2151,80.35,69.54,98.88,Good
S2152,51.13,52.85,89.29,Average
S2153,96.55,55.34,88.71,Good
S2154,84.31,63.8,67.78,Good
S2155,51.71,61.0,50.42,Poor
S2156,90.94,93.7,86.72,Excellent
S2157,60.01,99.32,99.99,Good
S2158,78.96,90.83,70.29,Good
S2159,73.33,86.49,99.28,Excellent
S2160,70.99,79.43,57.09,Average
S2161,94.49,88.5,64.83,Good
S2162,71.87,97.35,58.54,Good
S2163,53.77,80.07,73.76,Average
S2164,97.33,57.73,89.85,Good
S2165,96.03,58.19,67.03,Good
S2166,84.22,79.19,95.31,Excellent
S2167,73.39,66.67,77.24,Good
S2168,54.64,95.51,73.27,Good
S2169,89.54,80.58,89.35,Excellent
S2170,53.77,83.82,55.07,Average
S2171,53.43,50.29,88.69,Average
S2172,76.87,74.94,62.15,Good
S2173,58.01,71.56,64.04,Average
S2174,50.39,85.29,79.97,Average
S2175,71.16,69.13,95.1,Good
S2176,56.86,98.83,78.92,Good
S2177,58.03,83.51,82.45,Good
S2178,53.85,83.0,88.83,Good
S2179,60.25,95.97,62.97,Good
S2180,85.77,99.76,91.36,Excellent
S2181,90.45,59.89,70.9,Good
S2182,72.63,90.53,58.78,Good
S2183,75.33,58.12,67.51,Average
S2184,51.63,72.85,62.31,Average
S2185,53.47,55.01,61.44,Poor
S2186,62.88,81.17,64.13,Average
S2187,77.19,73.43,59.05,Good
S2188,86.98,81.43,83.39,Good
S2189,80.25,83.9,79.0,Good
S2190,69.61,80.97,82.42,Good
S2191,55.92,64.7,67.19,Average
S2192,89.04,91.85,88.49,Excellent
S2193,68.19,77.58,56.48,Average
S2194,86.8,74.49,78.56,Good
S2195,75.65,99.35,63.77,Good
S2196,86.93,64.18,76.38,Good
S2197,95.36,76.4,66.18,Good
S2198,96.05,84.12,89.53,Excellent
S2199,76.76,56.26,94.56,Good
S2200,75.58,67.71,87.13,Good
S2201,63.28,90.08,58.78,Average
S2202,96.79,61.84,63.74,Good
S2203,72.9,74.66,95.97,Good
S2204,56.38,81.53,71.86,Average
S2205,71.64,83.56,97.06,Good
S2206,56.35,86.42,69.62,Average
S2207,75.13,93.3,97.59,Excellent
S2208,78.06,69.64,96.29,Good
S2209,66.89,85.33,83.03,Good
S2210,53.58,86.61,50.44,Average
S2211,97.18,65.01,70.02,Good
S2212,88.67,98.41,95.56,Excellent
S2213,91.94,93.26,94.26,Excellent
S2214,68.34,64.49,59.37,Average
S2215,88.04,83.75,69.96,Good
S2216,74.27,85.89,91.78,Good
S2217,60.05,71.57,78.89,Average
S2218,56.22,93.19,92.36,Good
S2219,67.25,84.51,91.33,Good
S2220,56.88,82.91,95.37,Good
S2221,99.91,61.04,55.86,Good
S2222,52.46,70.39,57.26,Poor
S2223,72.06,71.7,54.14,Average
S2224,72.6,86.68,96.76,Good
S2225,65.03,80.92,73.76,Good
S2226,78.57,54.29,53.22,Average
S2227,57.5,65.38,66.08,Average
S2228,89.2,73.65,67.57,Good
S2229,66.62,86.84,90.48,Good
S2230,79.57,87.18,86.77,Good
S2231,85.78,74.53,84.47,Good
S2232,94.45,55.85,51.09,Average
S2233,91.79,64.65,95.53,Good
S2234,80.42,62.73,60.78,Average
S2235,69.42,89.05,81.45,Good
S2236,75.16,59.0,53.09,Average
S2237,88.44,73.25,54.08,Good
S2238,93.88,83.54,50.48,Good
S2239,55.19,98.24,78.3,Good
S2240,69.24,99.96,81.47,Good
S2241,88.81,97.65,52.52,Good
S2242,71.58,85.91,64.52,Good
S2243,66.61,87.32,92.57,Good
S2244,70.57,87.96,55.07,Good
S2245,80.14,93.13,60.83,Good
S2246,99.99,97.59,71.22,Excellent
S2247,74.65,72.29,92.11,Good
S2248,60.42,70.83,62.74,Average
S2249,58.14,73.02,99.86,Good
S2250,52.12,82.99,67.76,Average
S2251,77.94,88.77,69.32,Good
S2252,77.23,93.53,56.11,Good
S2253,60.26,72.81,84.01,Good
S2254,84.77,68.17,62.17,Good
S2255,87.06,99.17,81.44,Excellent
S2256,62.95,61.59,61.16,Average
S2257,67.2,61.1,69.39,Average
S2258,99.52,85.77,92.83,Excellent
S2259,68.71,58.98,86.95,Good
S2260,88.04,69.97,57.73,Good
S2261,72.64,64.62,80.39,Good
S2262,89.67,58.44,81.43,Good
S2263,88.45,78.99,54.53,Good
S2264,83.39,68.68,73.29,Good
S2265,92.74,73.11,63.03,Good
S2266,96.96,59.79,73.36,Good
S2267,79.0,88.39,88.85,Good
S2268,61.87,65.74,57.91,Average
S2269,69.93,67.14,56.17,Average
S2270,87.92,62.61,63.47,Good
S2271,82.54,71.72,97.61,Good
S2272,58.89,73.18,87.39,Good
S2273,52.56,76.48,50.97,Poor
S2274,84.15,98.38,70.05,Good
S2275,62.55,95.23,62.87,Good
S2276,74.98,80.47,81.91,Good
S2277,87.34,51.95,72.96,Good
S2278,78.13,80.61,98.22,Good
S2279,54.17,54.48,60.95,Poor
S2280,59.28,85.52,79.39,Good
S2281,60.97,69.5,85.01,Good
S2282,62.89,91.88,91.28,Good
S2283,78.27,97.13,70.35,Good
S2284,75.2,70.86,84.35,Good
S2285,60.16,73.03,65.16,Average
S2286,53.38,79.51,71.77,Average
S2287,58.57,59.86,94.78,Average
S2288,99.22,96.37,97.5,Excellent
S2289,73.43,71.65,85.94,Good
S2290,93.37,58.34,68.72,Good
S2291,92.44,88.14,91.0,Excellent
S2292,75.58,60.96,51.29,Average
S2293,85.33,57.18,55.14,Average
S2294,59.64,78.14,83.07,Good
S2295,84.42,83.57,64.56,Good
S2296,63.62,78.48,97.57,Good
S2297,91.6,82.83,71.8,Good
S2298,54.19,55.78,71.47,Poor
S2299,88.66,73.8,83.9,Good
S2300,55.0,67.85,88.38,Average
S2301,94.06,98.67,73.78,Excellent
S2302,65.21,52.48,60.7,Average
S2303,82.72,64.91,88.67,Good
S2304,74.38,97.09,66.02,Good
S2305,68.32,99.17,58.76,Good
S2306,82.27,91.25,81.58,Good
S2307,97.38,53.8,54.52,Good
S2308,52.06,78.07,98.57,Good
S2309,95.94,70.01,81.62,Good
S2310,80.45,90.32,99.29,Excellent
S2311,90.37,52.75,66.94,Good
S2312,69.19,59.86,98.56,Good
S2313,73.59,74.46,57.28,Average
S2314,93.44,57.88,52.03,Good
S2315,70.74,84.64,51.65,Average
S2316,76.73,91.04,73.24,Good
S2317,51.01,85.23,54.15,Average
S2318,57.93,72.01,75.61,Average
S2319,82.08,93.92,66.38,Good
S2320,85.85,56.88,66.78,Good
S2321,79.13,63.02,81.78,Good
S2322,57.17,74.48,58.15,Average
S2323,72.27,53.07,88.33,Good
S2324,67.75,54.78,79.1,Average
S2325,74.78,69.87,95.75,Good
S2326,93.52,97.19,68.24,Excellent
S2327,88.79,95.42,99.14,Excellent
S2328,54.2,73.3,78.79,Average
S2329,94.52,57.11,98.67,Good
S2330,73.59,58.91,51.35,Average
S2331,87.19,68.88,86.4,Good
S2332,57.0,60.5,90.83,Average
S2333,83.54,54.15,52.66,Average
S2334,61.82,83.69,78.95,Good
S2335,71.92,79.07,90.1,Good
S2336,50.84,64.56,78.05,Average
S2337,57.58,88.95,53.19,Average
S2338,54.6,88.8,84.67,Good
S2339,61.99,74.55,53.03,Average
S2340,55.0,54.83,90.87,Average
S2341,84.6,95.92,52.15,Good
S2342,51.45,83.43,56.87,Average
S2343,80.89,62.35,63.76,Good
S2344,57.04,80.52,81.67,Good
S2345,97.26,70.25,98.82,Excellent
S2346,96.65,81.77,55.89,Good
S2347,61.28,73.69,57.14,Average
S2348,80.72,74.27,68.44,Good
S2349,51.4,86.79,91.81,Good
S2350,96.59,80.69,73.36,Good
S2351,76.15,54.0,66.08,Average
S2352,52.16,53.27,78.06,Average
S2353,67.12,65.25,63.03,Average
S2354,53.84,71.51,70.06,Average
S2355,69.65,63.76,66.63,Average
S2356,83.5,82.57,90.21,Excellent
S2357,73.49,59.76,96.21,Good
S2358,69.19,85.21,87.98,Good
S2359,55.96,88.66,71.95,Good
S2360,62.25,56.22,75.22,Average
S2361,55.01,82.54,56.25,Average
S2362,90.37,98.07,87.34,Excellent
S2363,56.76,59.64,79.82,Average
S2364,79.77,95.47,95.12,Excellent
S2365,67.14,80.3,60.03,Average
S2366,61.3,79.55,87.99,Good
S2367,81.97,52.6,84.23,Good
S2368,72.85,87.42,63.29,Good
S2369,70.01,73.91,83.37,Good
S2370,79.64,86.06,96.22,Excellent
S2371,74.56,90.46,95.92,Excellent
S2372,65.17,76.19,85.98,Good
S2373,77.95,63.18,52.4,Average
S2374,83.47,57.08,93.61,Good
S2375,51.33,58.03,82.89,Average
S2376,73.29,93.35,65.52,Good
S2377,52.88,56.18,59.36,Poor
S2378,59.32,69.23,55.81,Average
S2379,78.03,66.71,52.51,Average
S2380,93.31,93.27,87.71,Excellent
S2381,94.14,73.88,61.79,Good
S2382,53.5,99.82,51.21,Average
S2383,70.96,86.85,69.86,Good
S2384,79.15,92.55,74.13,Good
S2385,57.35,54.93,58.46,Poor
S2386,88.27,62.66,52.2,Average
S2387,87.21,56.77,59.46,Average
S2388,95.17,73.18,83.96,Excellent
S2389,50.42,85.91,54.11,Average
S2390,60.83,58.45,77.75,Average
S2391,91.36,56.51,57.32,Good
S2392,83.53,80.73,59.78,Good
S2393,94.72,61.52,69.65,Good
S2394,52.86,73.97,55.04,Poor
S2395,79.85,52.56,58.66,Average
S2396,78.45,84.03,67.45,Good
S2397,51.78,77.07,66.48,Average
S2398,75.68,82.37,87.46,Good
S2399,80.48,63.77,53.74,Average
S2400,59.56,63.93,93.02,Good
S2401,63.67,90.07,90.81,Good
S2402,82.02,85.93,88.3,Excellent
S2403,73.42,78.99,65.47,Good
S2404,92.9,81.41,91.14,Excellent
S2405,67.12,54.7,59.14,Average
S2406,63.33,92.81,56.22,Good
S2407,99.24,88.5,52.25,Good
S2408,95.56,79.52,96.97,Excellent
S2409,51.45,95.93,65.4,Average
S2410,88.54,58.43,95.88,Good
S2411,55.52,84.33,63.63,Average
S2412,51.37,98.15,95.38,Good
S2413,63.68,65.5,95.2,Good
S2414,63.47,50.76,96.18,Average
S2415,90.97,86.74,74.81,Good
S2416,85.53,50.35,93.3,Good
S2417,99.08,93.63,97.54,Excellent
S2418,85.58,52.82,66.23,Average
S2419,70.91,82.64,70.94,Good
S2420,84.95,68.86,85.96,Good
S2421,99.97,60.17,65.02,Good
S2422,85.51,94.91,87.69,Excellent
S2423,88.08,87.31,53.69,Good
S2424,96.92,67.02,76.17,Good
S2425,55.68,64.21,56.12,Poor
S2426,85.24,86.8,64.67,Good
S2427,92.54,91.83,62.93,Good
S2428,97.72,85.79,91.95,Excellent
S2429,60.55,82.0,59.68,Average
S2430,75.2,61.4,90.42,Good
S2431,84.03,92.64,89.7,Excellent
S2432,62.37,87.48,74.94,Good
S2433,80.02,75.86,61.69,Good
S2434,62.88,75.58,61.34,Average
S2435,66.67,78.46,73.25,Good
S2436,72.08,91.41,50.44,Good
S2437,76.46,87.11,76.57,Good
S2438,72.47,92.81,97.64,Excellent
S2439,74.66,75.36,57.74,Average
S2440,64.93,81.23,78.67,Good
S2441,57.95,92.73,98.09,Good
S2442,52.37,61.62,93.03,Average
S2443,59.8,72.2,92.52,Good
S2444,79.1,81.03,91.09,Good
S2445,89.31,95.76,65.45,Good
S2446,58.46,50.79,94.53,Average
